postcode,population,mean_age,perc_foreigners,salary
0,707,48,0.02,22551.0
1,516,41,0.07,22950.0
2,1572,39,0.06,17920.0
3,2424,40,0.08,17342.0
4,272,42,0.09,16842.0
5,471,48,0.17,18568.0
6,1064,39,0.11,19311.0
7,34609,37,0.07,22297.0
8,4295,38,0.27,20548.0
9,9931,41,0.56,20601.0
10,3056,40,0.54,23892.0
11,736,48,0.07,17147.0
12,902,44,0.1,20391.0
13,17,41,0.17,19227.0
14,0,48,0.07,18021.0
15,121,50,0.09,16657.0
16,1709,41,0.17,19227.0
17,4051,40,0.14,20646.0
18,1207,43,0.04,18875.0
19,379,46,0.02,17419.0
20,543,43,0.06,17443.0
21,76,44,0.04,18473.0
22,219,49,0.04,15534.0
23,373,49,0.02,16230.0
24,414,47,0.01,16989.0
25,604,50,0.17,17086.0
26,2461,37,0.07,19513.0
27,1304,41,0.06,18378.0
28,897,42,0.01,20192.0
29,973,41,0.03,22052.0
30,413,51,0.02,16191.0
31,622,42,0.04,17162.0
32,703,49,0.06,17164.0
33,729,43,0.04,17161.0
34,26293,38,0.14,18099.0
35,1466,38,0.07,17283.0
36,1328,43,0.03,16671.0
37,2212,38,0.05,17771.0
38,3045,43,0.04,20087.0
39,931,45,0.03,16076.0
40,1312,40,0.07,16007.0
41,756,45,0.02,15203.0
42,4171,45,0.58,19992.0
43,11404,43,0.29,20541.0
44,730,48,0.47,21369.0
45,881,52,0.2,20068.0
46,284,51,0.15,18356.0
47,1152,48,0.57,20006.0
48,1306,48,0.31,20554.0
49,1732,48,0.48,20326.0
50,516,52,0.19,19977.0
51,606,51,0.56,22622.0
52,1945,48,0.48,22212.0
53,202,37,0.05,21660.0
54,13103,42,0.09,19818.0
55,17495,38,0.05,21629.0
56,13498,32,0.06,21597.0
57,16652,38,0.04,21854.0
58,811,45,0.07,20748.0
59,368,50,0.06,19347.0
60,506,46,0.22,19646.0
61,219,52,0.12,18085.0
62,371,49,0.08,19429.0
63,332,48,0.08,17741.0
64,115,50,0.02,22390.0
65,139,36,0.05,21812.0
66,11527,40,0.11,21871.0
67,636,48,0.11,22640.0
68,836,46,0.15,20374.0
69,508,43,0.09,21577.0
70,8502,37,0.09,24275.0
71,673,44,0.03,16870.0
72,1819,40,0.03,19759.0
73,2852,37,0.11,17510.0
74,2531,35,0.04,20614.0
75,393,37,0.02,16840.0
76,1519,41,0.02,18267.0
77,1945,38,0.0,14623.0
78,2374,40,0.03,16979.0
79,152,38,0.07,20408.0
80,1319,38,0.07,20524.0
81,2009,34,0.04,21229.0
82,2054,37,0.06,15972.0
83,610,42,0.05,16747.0
84,34319,36,0.12,21909.0
85,5717,38,0.07,17252.0
86,1643,38,0.02,18495.0
87,2088,38,0.04,16879.0
88,2233,36,0.04,17191.0
89,13269,38,0.04,19291.0
90,3482,40,0.05,15906.0
91,544,43,0.01,14632.0
92,925,42,0.0,16121.0
93,3837,41,0.01,16033.0
94,531,39,0.02,15786.0
95,8244,37,0.02,18052.0
96,301,49,0.08,24331.0
97,671,44,0.08,14962.0
98,17931,47,0.71,18135.0
99,121,35,0.16,20541.0
100,438,53,0.03,27128.0
101,96,52,0.03,21051.0
102,11190,44,0.17,27285.0
103,664,45,0.04,19735.0
104,1509,42,0.2,23250.0
105,52,51,0.06,20666.0
106,95,44,0.07,20772.0
107,365,41,0.08,20516.0
108,79,51,0.02,20608.0
109,2306,44,0.49,20149.0
110,54531,36,0.09,23210.0
111,550,36,0.04,21173.0
112,504,36,0.02,20768.0
113,907,37,0.02,20215.0
114,2058,37,0.02,18138.0
115,12990,32,0.09,31287.0
116,35290,40,0.25,27303.0
117,51616,32,0.11,31968.0
118,29174,34,0.11,31705.0
119,27931,35,0.1,32836.0
120,24514,35,0.13,31913.0
121,18978,38,0.26,26790.0
122,17636,38,0.18,30204.0
123,27476,32,0.12,32398.0
124,21447,38,0.2,26811.0
125,42071,32,0.11,33001.0
126,22048,34,0.14,29474.0
127,25750,37,0.21,28270.0
128,29608,34,0.13,29451.0
129,20439,32,0.09,31386.0
130,32681,31,0.12,30349.0
131,51557,31,0.09,32003.0
132,36196,33,0.18,29678.0
133,39503,34,0.24,29199.0
134,38609,33,0.18,30297.0
135,3,35,0.23,32966.0
136,3,37,0.26,32224.0
137,4885,34,0.09,28605.0
138,18774,31,0.21,27237.0
139,9730,35,0.09,30645.0
140,357,52,0.01,20081.0
141,414,52,0.01,20011.0
142,684,53,0.01,18563.0
143,322,51,0.01,18694.0
144,322,51,0.02,19954.0
145,205,52,0.01,19187.0
146,83,49,0.07,21536.0
147,187,48,0.04,22238.0
148,204,48,0.02,22810.0
149,136,47,0.04,23816.0
150,177,48,0.01,22300.0
151,216,48,0.01,22300.0
152,371,48,0.02,22368.0
153,28,51,0.02,20608.0
154,252,51,0.01,21740.0
155,240,51,0.02,21346.0
156,224,51,0.02,21346.0
157,45,51,0.01,21740.0
158,69,48,0.01,22300.0
159,6191,43,0.08,21412.0
160,744,46,0.05,23636.0
161,347,46,0.02,22804.0
162,199,46,0.02,22804.0
163,448,45,0.06,23475.0
164,676,46,0.03,22733.0
165,588,49,0.06,20874.0
166,1471,48,0.05,21203.0
167,150,51,0.02,19752.0
168,80,51,0.02,19752.0
169,1246,41,0.07,23156.0
170,140,48,0.02,22551.0
171,892,42,0.05,32448.0
172,9575,38,0.16,24042.0
173,167,43,0.04,24576.0
174,493,45,0.01,25012.0
175,2032,37,0.16,17447.0
176,11445,46,0.51,19787.0
177,6652,39,0.12,26581.0
178,21988,37,0.23,25265.0
179,12749,40,0.18,24020.0
180,9762,38,0.16,26534.0
181,10505,39,0.19,24823.0
182,25673,36,0.14,26604.0
183,36573,35,0.12,26148.0
184,14232,39,0.12,28296.0
185,34148,39,0.08,27407.0
186,15828,38,0.22,25187.0
187,19651,37,0.14,25279.0
188,15148,36,0.12,25571.0
189,15739,37,0.1,25232.0
190,6411,36,0.07,27214.0
191,730,39,0.1,24902.0
192,13,35,0.04,30428.0
193,18921,35,0.09,25975.0
194,23496,36,0.14,25169.0
195,11068,35,0.2,21411.0
196,5987,37,0.18,25038.0
197,1947,40,0.02,18024.0
198,4162,40,0.07,21481.0
199,1048,43,0.13,17679.0
200,539,35,0.06,20225.0
201,1969,44,0.05,17356.0
202,1373,45,0.02,16781.0
203,2075,39,0.03,19904.0
204,1773,36,0.03,18139.0
205,611,46,0.03,16816.0
206,992,50,0.05,17502.0
207,89,52,0.02,13285.0
208,642,45,0.03,13066.0
209,987,41,0.01,16424.0
210,578,41,0.02,18418.0
211,426,42,0.2,25267.0
212,2927,41,0.34,24674.0
213,698,43,0.23,23808.0
214,2743,38,0.13,27194.0
215,3554,40,0.1,29687.0
216,34311,38,0.27,22550.0
217,21935,35,0.4,24024.0
218,23996,34,0.31,23491.0
219,9118,37,0.53,23408.0
220,2401,39,0.27,21696.0
221,1520,41,0.18,19789.0
222,843,39,0.32,21945.0
223,68181,38,0.29,22555.0
224,15958,39,0.5,21926.0
225,34178,36,0.31,23060.0
226,13654,38,0.42,22703.0
227,74054,40,0.43,21969.0
228,28278,43,0.66,21371.0
229,12650,40,0.47,22919.0
230,38333,34,0.29,22370.0
231,15570,36,0.47,22570.0
232,33733,37,0.31,22710.0
233,2116,37,0.61,21506.0
234,3370,37,0.61,21506.0
235,47128,37,0.24,22932.0
236,10454,38,0.58,22904.0
237,5032,36,0.46,23480.0
238,4917,39,0.35,20959.0
239,1524,43,0.09,25378.0
240,224,50,0.01,23892.0
241,188,50,0.04,26720.0
242,1422,43,0.07,25695.0
243,1006,47,0.13,24739.0
244,449,45,0.03,24931.0
245,172,54,0.11,24421.0
246,331,46,0.08,23945.0
247,233,48,0.02,21992.0
248,369,49,0.1,24471.0
249,171,48,0.08,24303.0
250,470,47,0.09,23584.0
251,2146,43,0.18,26966.0
252,2040,41,0.18,26390.0
253,505,45,0.12,31205.0
254,885,45,0.08,25884.0
255,305,45,0.11,34508.0
256,433,45,0.06,24128.0
257,3482,44,0.2,26795.0
258,574,46,0.07,26691.0
259,860,45,0.07,25769.0
260,203,49,0.1,24820.0
261,808,47,0.04,23563.0
262,245,49,0.07,23351.0
263,108,45,0.02,21914.0
264,3100,48,0.17,22432.0
265,50,49,0.05,22720.0
266,60,49,0.05,22751.0
267,201,49,0.05,22720.0
268,292,49,0.06,22926.0
269,152,48,0.14,25974.0
270,18008,43,0.23,22953.0
271,1146,46,0.04,18139.0
272,610,44,0.11,20509.0
273,290,49,0.03,19685.0
274,2362,41,0.06,24393.0
275,3181,37,0.06,16793.0
276,36554,36,0.11,22249.0
277,222,49,0.05,22720.0
278,820,40,0.03,21906.0
279,283,46,0.02,22191.0
280,1321,45,0.07,22347.0
281,727,51,0.09,20876.0
282,2783,37,0.03,17840.0
283,968,40,0.06,16971.0
284,573,39,0.24,24078.0
285,220,55,0.04,20228.0
286,511,59,0.11,14979.0
287,511,54,0.05,14700.0
288,943,38,0.08,18223.0
289,3724,34,0.11,23972.0
290,720,43,0.13,23686.0
291,2401,41,0.04,16128.0
292,473,45,0.06,17217.0
293,26873,38,0.09,21001.0
294,1503,42,0.1,20162.0
295,2554,43,0.24,21396.0
296,6525,37,0.18,21929.0
297,1246,37,0.29,21193.0
298,20292,38,0.1,21358.0
299,3010,44,0.46,21066.0
300,14159,40,0.13,21208.0
301,19603,36,0.1,23954.0
302,28857,36,0.11,26813.0
303,21619,37,0.13,21963.0
304,37592,33,0.1,22789.0
305,2911,38,0.29,21035.0
306,8709,32,0.34,20071.0
307,1545,35,0.49,20134.0
308,288,39,0.33,20660.0
309,534,36,0.46,20354.0
310,1617,36,0.46,20324.0
311,9551,33,0.41,20747.0
312,2855,36,0.37,21553.0
313,103,40,0.29,20439.0
314,13163,33,0.12,21955.0
